state,exposure_category,year,quarter,period,period_index,date,hiv_notifications,prep_dispensing_count,post_pbs_listing,post_epic_nsw,covid_period,is_msm,msm_x_post_pbs,population_share,msm_population_weight,baseline_testing_rate_per_100k,seifa_irsad_index
ACT,Heterosexual,2013,1,2013Q1,0,2013-01-01,2,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2013,2,2013Q2,1,2013-04-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2013,3,2013Q3,2,2013-07-01,2,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2013,4,2013Q4,3,2013-10-01,3,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2014,1,2014Q1,4,2014-01-01,2,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2014,2,2014Q2,5,2014-04-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2014,3,2014Q3,6,2014-07-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2014,4,2014Q4,7,2014-10-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2015,1,2015Q1,8,2015-01-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2015,2,2015Q2,9,2015-04-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2015,3,2015Q3,10,2015-07-01,2,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2015,4,2015Q4,11,2015-10-01,2,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2016,1,2016Q1,12,2016-01-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2016,2,2016Q2,13,2016-04-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2016,3,2016Q3,14,2016-07-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2016,4,2016Q4,15,2016-10-01,3,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2017,1,2017Q1,16,2017-01-01,2,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2017,2,2017Q2,17,2017-04-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2017,3,2017Q3,18,2017-07-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2017,4,2017Q4,19,2017-10-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2018,1,2018Q1,20,2018-01-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2018,2,2018Q2,21,2018-04-01,1,185,1,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2018,3,2018Q3,22,2018-07-01,0,266,1,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2018,4,2018Q4,23,2018-10-01,0,380,1,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2019,1,2019Q1,24,2019-01-01,0,575,1,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2019,2,2019Q2,25,2019-04-01,1,686,1,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2019,3,2019Q3,26,2019-07-01,2,861,1,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2019,4,2019Q4,27,2019-10-01,2,845,1,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2020,1,2020Q1,28,2020-01-01,0,965,1,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2020,2,2020Q2,29,2020-04-01,0,1046,1,0,1,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2020,3,2020Q3,30,2020-07-01,4,919,1,0,1,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2020,4,2020Q4,31,2020-10-01,1,952,1,0,1,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2021,1,2021Q1,32,2021-01-01,1,973,1,0,1,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2021,2,2021Q2,33,2021-04-01,0,1024,1,0,1,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2021,3,2021Q3,34,2021-07-01,2,1062,1,0,1,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2021,4,2021Q4,35,2021-10-01,0,1149,1,0,1,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2022,1,2022Q1,36,2022-01-01,0,1126,1,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2022,2,2022Q2,37,2022-04-01,1,1164,1,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2022,3,2022Q3,38,2022-07-01,1,1113,1,0,0,0,0,0.017,0.025,380,1040
ACT,Heterosexual,2022,4,2022Q4,39,2022-10-01,0,1101,1,0,0,0,0,0.017,0.025,380,1040
ACT,MSM,2013,1,2013Q1,0,2013-01-01,4,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2013,2,2013Q2,1,2013-04-01,3,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2013,3,2013Q3,2,2013-07-01,2,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2013,4,2013Q4,3,2013-10-01,7,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2014,1,2014Q1,4,2014-01-01,5,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2014,2,2014Q2,5,2014-04-01,4,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2014,3,2014Q3,6,2014-07-01,4,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2014,4,2014Q4,7,2014-10-01,2,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2015,1,2015Q1,8,2015-01-01,3,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2015,2,2015Q2,9,2015-04-01,9,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2015,3,2015Q3,10,2015-07-01,3,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2015,4,2015Q4,11,2015-10-01,1,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2016,1,2016Q1,12,2016-01-01,2,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2016,2,2016Q2,13,2016-04-01,3,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2016,3,2016Q3,14,2016-07-01,7,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2016,4,2016Q4,15,2016-10-01,1,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2017,1,2017Q1,16,2017-01-01,5,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2017,2,2017Q2,17,2017-04-01,1,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2017,3,2017Q3,18,2017-07-01,5,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2017,4,2017Q4,19,2017-10-01,2,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2018,1,2018Q1,20,2018-01-01,1,0,0,0,0,1,0,0.017,0.025,380,1040
ACT,MSM,2018,2,2018Q2,21,2018-04-01,1,185,1,0,0,1,1,0.017,0.025,380,1040
ACT,MSM,2018,3,2018Q3,22,2018-07-01,8,266,1,0,0,1,1,0.017,0.025,380,1040
ACT,MSM,2018,4,2018Q4,23,2018-10-01,2,380,1,0,0,1,1,0.017,0.025,380,1040
ACT,MSM,2019,1,2019Q1,24,2019-01-01,3,575,1,0,0,1,1,0.017,0.025,380,1040
ACT,MSM,2019,2,2019Q2,25,2019-04-01,5,686,1,0,0,1,1,0.017,0.025,380,1040
ACT,MSM,2019,3,2019Q3,26,2019-07-01,3,861,1,0,0,1,1,0.017,0.025,380,1040
ACT,MSM,2019,4,2019Q4,27,2019-10-01,3,845,1,0,0,1,1,0.017,0.025,380,1040
ACT,MSM,2020,1,2020Q1,28,2020-01-01,1,965,1,0,0,1,1,0.017,0.025,380,1040
ACT,MSM,2020,2,2020Q2,29,2020-04-01,3,1046,1,0,1,1,1,0.017,0.025,380,1040
ACT,MSM,2020,3,2020Q3,30,2020-07-01,4,919,1,0,1,1,1,0.017,0.025,380,1040
ACT,MSM,2020,4,2020Q4,31,2020-10-01,3,952,1,0,1,1,1,0.017,0.025,380,1040
ACT,MSM,2021,1,2021Q1,32,2021-01-01,3,973,1,0,1,1,1,0.017,0.025,380,1040
ACT,MSM,2021,2,2021Q2,33,2021-04-01,1,1024,1,0,1,1,1,0.017,0.025,380,1040
ACT,MSM,2021,3,2021Q3,34,2021-07-01,3,1062,1,0,1,1,1,0.017,0.025,380,1040
ACT,MSM,2021,4,2021Q4,35,2021-10-01,0,1149,1,0,1,1,1,0.017,0.025,380,1040
ACT,MSM,2022,1,2022Q1,36,2022-01-01,6,1126,1,0,0,1,1,0.017,0.025,380,1040
ACT,MSM,2022,2,2022Q2,37,2022-04-01,2,1164,1,0,0,1,1,0.017,0.025,380,1040
ACT,MSM,2022,3,2022Q3,38,2022-07-01,3,1113,1,0,0,1,1,0.017,0.025,380,1040
ACT,MSM,2022,4,2022Q4,39,2022-10-01,2,1101,1,0,0,1,1,0.017,0.025,380,1040
ACT,Other,2013,1,2013Q1,0,2013-01-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2013,2,2013Q2,1,2013-04-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2013,3,2013Q3,2,2013-07-01,3,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2013,4,2013Q4,3,2013-10-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2014,1,2014Q1,4,2014-01-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2014,2,2014Q2,5,2014-04-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2014,3,2014Q3,6,2014-07-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2014,4,2014Q4,7,2014-10-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2015,1,2015Q1,8,2015-01-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2015,2,2015Q2,9,2015-04-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2015,3,2015Q3,10,2015-07-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2015,4,2015Q4,11,2015-10-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2016,1,2016Q1,12,2016-01-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2016,2,2016Q2,13,2016-04-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2016,3,2016Q3,14,2016-07-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2016,4,2016Q4,15,2016-10-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2017,1,2017Q1,16,2017-01-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2017,2,2017Q2,17,2017-04-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2017,3,2017Q3,18,2017-07-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2017,4,2017Q4,19,2017-10-01,1,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2018,1,2018Q1,20,2018-01-01,0,0,0,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2018,2,2018Q2,21,2018-04-01,0,185,1,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2018,3,2018Q3,22,2018-07-01,1,266,1,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2018,4,2018Q4,23,2018-10-01,0,380,1,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2019,1,2019Q1,24,2019-01-01,4,575,1,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2019,2,2019Q2,25,2019-04-01,1,686,1,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2019,3,2019Q3,26,2019-07-01,0,861,1,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2019,4,2019Q4,27,2019-10-01,0,845,1,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2020,1,2020Q1,28,2020-01-01,1,965,1,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2020,2,2020Q2,29,2020-04-01,1,1046,1,0,1,0,0,0.017,0.025,380,1040
ACT,Other,2020,3,2020Q3,30,2020-07-01,0,919,1,0,1,0,0,0.017,0.025,380,1040
ACT,Other,2020,4,2020Q4,31,2020-10-01,0,952,1,0,1,0,0,0.017,0.025,380,1040
ACT,Other,2021,1,2021Q1,32,2021-01-01,0,973,1,0,1,0,0,0.017,0.025,380,1040
ACT,Other,2021,2,2021Q2,33,2021-04-01,0,1024,1,0,1,0,0,0.017,0.025,380,1040
ACT,Other,2021,3,2021Q3,34,2021-07-01,0,1062,1,0,1,0,0,0.017,0.025,380,1040
ACT,Other,2021,4,2021Q4,35,2021-10-01,1,1149,1,0,1,0,0,0.017,0.025,380,1040
ACT,Other,2022,1,2022Q1,36,2022-01-01,0,1126,1,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2022,2,2022Q2,37,2022-04-01,0,1164,1,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2022,3,2022Q3,38,2022-07-01,0,1113,1,0,0,0,0,0.017,0.025,380,1040
ACT,Other,2022,4,2022Q4,39,2022-10-01,0,1101,1,0,0,0,0,0.017,0.025,380,1040
NSW,Heterosexual,2013,1,2013Q1,0,2013-01-01,20,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2013,2,2013Q2,1,2013-04-01,11,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2013,3,2013Q3,2,2013-07-01,21,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2013,4,2013Q4,3,2013-10-01,18,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2014,1,2014Q1,4,2014-01-01,26,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2014,2,2014Q2,5,2014-04-01,18,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2014,3,2014Q3,6,2014-07-01,12,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2014,4,2014Q4,7,2014-10-01,16,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2015,1,2015Q1,8,2015-01-01,11,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2015,2,2015Q2,9,2015-04-01,14,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2015,3,2015Q3,10,2015-07-01,16,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2015,4,2015Q4,11,2015-10-01,19,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2016,1,2016Q1,12,2016-01-01,16,772,0,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2016,2,2016Q2,13,2016-04-01,18,1321,0,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2016,3,2016Q3,14,2016-07-01,16,2012,0,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2016,4,2016Q4,15,2016-10-01,18,3234,0,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2017,1,2017Q1,16,2017-01-01,19,4412,0,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2017,2,2017Q2,17,2017-04-01,19,5782,0,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2017,3,2017Q3,18,2017-07-01,20,6951,0,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2017,4,2017Q4,19,2017-10-01,16,7709,0,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2018,1,2018Q1,20,2018-01-01,15,8265,0,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2018,2,2018Q2,21,2018-04-01,24,2989,1,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2018,3,2018Q3,22,2018-07-01,17,4372,1,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2018,4,2018Q4,23,2018-10-01,14,6132,1,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2019,1,2019Q1,24,2019-01-01,16,8024,1,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2019,2,2019Q2,25,2019-04-01,8,9884,1,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2019,3,2019Q3,26,2019-07-01,14,11689,1,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2019,4,2019Q4,27,2019-10-01,14,13124,1,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2020,1,2020Q1,28,2020-01-01,21,13996,1,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2020,2,2020Q2,29,2020-04-01,11,14743,1,1,1,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2020,3,2020Q3,30,2020-07-01,10,14134,1,1,1,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2020,4,2020Q4,31,2020-10-01,19,13637,1,1,1,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2021,1,2021Q1,32,2021-01-01,18,13536,1,1,1,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2021,2,2021Q2,33,2021-04-01,15,13787,1,1,1,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2021,3,2021Q3,34,2021-07-01,16,14826,1,1,1,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2021,4,2021Q4,35,2021-10-01,11,15879,1,1,1,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2022,1,2022Q1,36,2022-01-01,14,16139,1,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2022,2,2022Q2,37,2022-04-01,19,16118,1,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2022,3,2022Q3,38,2022-07-01,15,16036,1,1,0,0,0,0.32,0.34,420,1000
NSW,Heterosexual,2022,4,2022Q4,39,2022-10-01,6,15899,1,1,0,0,0,0.32,0.34,420,1000
NSW,MSM,2013,1,2013Q1,0,2013-01-01,62,0,0,0,0,1,0,0.32,0.34,420,1000
NSW,MSM,2013,2,2013Q2,1,2013-04-01,61,0,0,0,0,1,0,0.32,0.34,420,1000
NSW,MSM,2013,3,2013Q3,2,2013-07-01,58,0,0,0,0,1,0,0.32,0.34,420,1000
NSW,MSM,2013,4,2013Q4,3,2013-10-01,65,0,0,0,0,1,0,0.32,0.34,420,1000
NSW,MSM,2014,1,2014Q1,4,2014-01-01,59,0,0,0,0,1,0,0.32,0.34,420,1000
NSW,MSM,2014,2,2014Q2,5,2014-04-01,73,0,0,0,0,1,0,0.32,0.34,420,1000
NSW,MSM,2014,3,2014Q3,6,2014-07-01,48,0,0,0,0,1,0,0.32,0.34,420,1000
NSW,MSM,2014,4,2014Q4,7,2014-10-01,62,0,0,0,0,1,0,0.32,0.34,420,1000
NSW,MSM,2015,1,2015Q1,8,2015-01-01,65,0,0,0,0,1,0,0.32,0.34,420,1000
NSW,MSM,2015,2,2015Q2,9,2015-04-01,54,0,0,0,0,1,0,0.32,0.34,420,1000
NSW,MSM,2015,3,2015Q3,10,2015-07-01,64,0,0,0,0,1,0,0.32,0.34,420,1000
NSW,MSM,2015,4,2015Q4,11,2015-10-01,54,0,0,0,0,1,0,0.32,0.34,420,1000
NSW,MSM,2016,1,2016Q1,12,2016-01-01,49,772,0,1,0,1,0,0.32,0.34,420,1000
NSW,MSM,2016,2,2016Q2,13,2016-04-01,71,1321,0,1,0,1,0,0.32,0.34,420,1000
NSW,MSM,2016,3,2016Q3,14,2016-07-01,52,2012,0,1,0,1,0,0.32,0.34,420,1000
NSW,MSM,2016,4,2016Q4,15,2016-10-01,55,3234,0,1,0,1,0,0.32,0.34,420,1000
NSW,MSM,2017,1,2017Q1,16,2017-01-01,59,4412,0,1,0,1,0,0.32,0.34,420,1000
NSW,MSM,2017,2,2017Q2,17,2017-04-01,41,5782,0,1,0,1,0,0.32,0.34,420,1000
NSW,MSM,2017,3,2017Q3,18,2017-07-01,52,6951,0,1,0,1,0,0.32,0.34,420,1000
NSW,MSM,2017,4,2017Q4,19,2017-10-01,50,7709,0,1,0,1,0,0.32,0.34,420,1000
NSW,MSM,2018,1,2018Q1,20,2018-01-01,54,8265,0,1,0,1,0,0.32,0.34,420,1000
NSW,MSM,2018,2,2018Q2,21,2018-04-01,45,2989,1,1,0,1,1,0.32,0.34,420,1000
NSW,MSM,2018,3,2018Q3,22,2018-07-01,41,4372,1,1,0,1,1,0.32,0.34,420,1000
NSW,MSM,2018,4,2018Q4,23,2018-10-01,50,6132,1,1,0,1,1,0.32,0.34,420,1000
NSW,MSM,2019,1,2019Q1,24,2019-01-01,39,8024,1,1,0,1,1,0.32,0.34,420,1000
NSW,MSM,2019,2,2019Q2,25,2019-04-01,46,9884,1,1,0,1,1,0.32,0.34,420,1000
NSW,MSM,2019,3,2019Q3,26,2019-07-01,34,11689,1,1,0,1,1,0.32,0.34,420,1000
NSW,MSM,2019,4,2019Q4,27,2019-10-01,35,13124,1,1,0,1,1,0.32,0.34,420,1000
NSW,MSM,2020,1,2020Q1,28,2020-01-01,43,13996,1,1,0,1,1,0.32,0.34,420,1000
NSW,MSM,2020,2,2020Q2,29,2020-04-01,41,14743,1,1,1,1,1,0.32,0.34,420,1000
NSW,MSM,2020,3,2020Q3,30,2020-07-01,35,14134,1,1,1,1,1,0.32,0.34,420,1000
NSW,MSM,2020,4,2020Q4,31,2020-10-01,53,13637,1,1,1,1,1,0.32,0.34,420,1000
NSW,MSM,2021,1,2021Q1,32,2021-01-01,45,13536,1,1,1,1,1,0.32,0.34,420,1000
NSW,MSM,2021,2,2021Q2,33,2021-04-01,24,13787,1,1,1,1,1,0.32,0.34,420,1000
NSW,MSM,2021,3,2021Q3,34,2021-07-01,29,14826,1,1,1,1,1,0.32,0.34,420,1000
NSW,MSM,2021,4,2021Q4,35,2021-10-01,39,15879,1,1,1,1,1,0.32,0.34,420,1000
NSW,MSM,2022,1,2022Q1,36,2022-01-01,41,16139,1,1,0,1,1,0.32,0.34,420,1000
NSW,MSM,2022,2,2022Q2,37,2022-04-01,39,16118,1,1,0,1,1,0.32,0.34,420,1000
NSW,MSM,2022,3,2022Q3,38,2022-07-01,30,16036,1,1,0,1,1,0.32,0.34,420,1000
NSW,MSM,2022,4,2022Q4,39,2022-10-01,22,15899,1,1,0,1,1,0.32,0.34,420,1000
NSW,Other,2013,1,2013Q1,0,2013-01-01,8,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Other,2013,2,2013Q2,1,2013-04-01,10,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Other,2013,3,2013Q3,2,2013-07-01,10,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Other,2013,4,2013Q4,3,2013-10-01,5,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Other,2014,1,2014Q1,4,2014-01-01,6,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Other,2014,2,2014Q2,5,2014-04-01,16,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Other,2014,3,2014Q3,6,2014-07-01,6,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Other,2014,4,2014Q4,7,2014-10-01,8,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Other,2015,1,2015Q1,8,2015-01-01,8,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Other,2015,2,2015Q2,9,2015-04-01,4,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Other,2015,3,2015Q3,10,2015-07-01,8,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Other,2015,4,2015Q4,11,2015-10-01,7,0,0,0,0,0,0,0.32,0.34,420,1000
NSW,Other,2016,1,2016Q1,12,2016-01-01,11,772,0,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2016,2,2016Q2,13,2016-04-01,5,1321,0,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2016,3,2016Q3,14,2016-07-01,7,2012,0,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2016,4,2016Q4,15,2016-10-01,10,3234,0,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2017,1,2017Q1,16,2017-01-01,12,4412,0,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2017,2,2017Q2,17,2017-04-01,8,5782,0,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2017,3,2017Q3,18,2017-07-01,4,6951,0,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2017,4,2017Q4,19,2017-10-01,4,7709,0,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2018,1,2018Q1,20,2018-01-01,5,8265,0,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2018,2,2018Q2,21,2018-04-01,2,2989,1,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2018,3,2018Q3,22,2018-07-01,2,4372,1,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2018,4,2018Q4,23,2018-10-01,8,6132,1,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2019,1,2019Q1,24,2019-01-01,7,8024,1,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2019,2,2019Q2,25,2019-04-01,3,9884,1,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2019,3,2019Q3,26,2019-07-01,3,11689,1,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2019,4,2019Q4,27,2019-10-01,4,13124,1,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2020,1,2020Q1,28,2020-01-01,12,13996,1,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2020,2,2020Q2,29,2020-04-01,6,14743,1,1,1,0,0,0.32,0.34,420,1000
NSW,Other,2020,3,2020Q3,30,2020-07-01,4,14134,1,1,1,0,0,0.32,0.34,420,1000
NSW,Other,2020,4,2020Q4,31,2020-10-01,7,13637,1,1,1,0,0,0.32,0.34,420,1000
NSW,Other,2021,1,2021Q1,32,2021-01-01,3,13536,1,1,1,0,0,0.32,0.34,420,1000
NSW,Other,2021,2,2021Q2,33,2021-04-01,8,13787,1,1,1,0,0,0.32,0.34,420,1000
NSW,Other,2021,3,2021Q3,34,2021-07-01,6,14826,1,1,1,0,0,0.32,0.34,420,1000
NSW,Other,2021,4,2021Q4,35,2021-10-01,12,15879,1,1,1,0,0,0.32,0.34,420,1000
NSW,Other,2022,1,2022Q1,36,2022-01-01,7,16139,1,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2022,2,2022Q2,37,2022-04-01,9,16118,1,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2022,3,2022Q3,38,2022-07-01,10,16036,1,1,0,0,0,0.32,0.34,420,1000
NSW,Other,2022,4,2022Q4,39,2022-10-01,7,15899,1,1,0,0,0,0.32,0.34,420,1000
