state,exposure_category,year,quarter,period,date,hiv_notifications
ACT,Heterosexual,2013,1,2013Q1,2013-01-01,2
ACT,Heterosexual,2013,2,2013Q2,2013-04-01,0
ACT,Heterosexual,2013,3,2013Q3,2013-07-01,2
ACT,Heterosexual,2013,4,2013Q4,2013-10-01,3
ACT,Heterosexual,2014,1,2014Q1,2014-01-01,2
ACT,Heterosexual,2014,2,2014Q2,2014-04-01,1
ACT,Heterosexual,2014,3,2014Q3,2014-07-01,1
ACT,Heterosexual,2014,4,2014Q4,2014-10-01,1
ACT,Heterosexual,2015,1,2015Q1,2015-01-01,0
ACT,Heterosexual,2015,2,2015Q2,2015-04-01,0
ACT,Heterosexual,2015,3,2015Q3,2015-07-01,2
ACT,Heterosexual,2015,4,2015Q4,2015-10-01,2
ACT,Heterosexual,2016,1,2016Q1,2016-01-01,1
ACT,Heterosexual,2016,2,2016Q2,2016-04-01,0
ACT,Heterosexual,2016,3,2016Q3,2016-07-01,1
ACT,Heterosexual,2016,4,2016Q4,2016-10-01,3
ACT,Heterosexual,2017,1,2017Q1,2017-01-01,2
ACT,Heterosexual,2017,2,2017Q2,2017-04-01,0
ACT,Heterosexual,2017,3,2017Q3,2017-07-01,1
ACT,Heterosexual,2017,4,2017Q4,2017-10-01,0
ACT,Heterosexual,2018,1,2018Q1,2018-01-01,0
ACT,Heterosexual,2018,2,2018Q2,2018-04-01,1
ACT,Heterosexual,2018,3,2018Q3,2018-07-01,0
ACT,Heterosexual,2018,4,2018Q4,2018-10-01,0
ACT,Heterosexual,2019,1,2019Q1,2019-01-01,0
ACT,Heterosexual,2019,2,2019Q2,2019-04-01,1
ACT,Heterosexual,2019,3,2019Q3,2019-07-01,2
ACT,Heterosexual,2019,4,2019Q4,2019-10-01,2
ACT,Heterosexual,2020,1,2020Q1,2020-01-01,0
ACT,Heterosexual,2020,2,2020Q2,2020-04-01,0
ACT,Heterosexual,2020,3,2020Q3,2020-07-01,4
ACT,Heterosexual,2020,4,2020Q4,2020-10-01,1
ACT,Heterosexual,2021,1,2021Q1,2021-01-01,1
ACT,Heterosexual,2021,2,2021Q2,2021-04-01,0
ACT,Heterosexual,2021,3,2021Q3,2021-07-01,2
ACT,Heterosexual,2021,4,2021Q4,2021-10-01,0
ACT,Heterosexual,2022,1,2022Q1,2022-01-01,0
ACT,Heterosexual,2022,2,2022Q2,2022-04-01,1
ACT,Heterosexual,2022,3,2022Q3,2022-07-01,1
ACT,Heterosexual,2022,4,2022Q4,2022-10-01,0
ACT,MSM,2013,1,2013Q1,2013-01-01,4
ACT,MSM,2013,2,2013Q2,2013-04-01,3
ACT,MSM,2013,3,2013Q3,2013-07-01,2
ACT,MSM,2013,4,2013Q4,2013-10-01,7
ACT,MSM,2014,1,2014Q1,2014-01-01,5
ACT,MSM,2014,2,2014Q2,2014-04-01,4
ACT,MSM,2014,3,2014Q3,2014-07-01,4
