state,year,quarter,period,date,prep_dispensing_count
ACT,2013,1,2013Q1,2013-01-01,0
ACT,2013,2,2013Q2,2013-04-01,0
ACT,2013,3,2013Q3,2013-07-01,0
ACT,2013,4,2013Q4,2013-10-01,0
ACT,2014,1,2014Q1,2014-01-01,0
ACT,2014,2,2014Q2,2014-04-01,0
ACT,2014,3,2014Q3,2014-07-01,0
ACT,2014,4,2014Q4,2014-10-01,0
ACT,2015,1,2015Q1,2015-01-01,0
ACT,2015,2,2015Q2,2015-04-01,0
ACT,2015,3,2015Q3,2015-07-01,0
ACT,2015,4,2015Q4,2015-10-01,0
ACT,2016,1,2016Q1,2016-01-01,0
ACT,2016,2,2016Q2,2016-04-01,0
ACT,2016,3,2016Q3,2016-07-01,0
ACT,2016,4,2016Q4,2016-10-01,0
ACT,2017,1,2017Q1,2017-01-01,0
ACT,2017,2,2017Q2,2017-04-01,0
ACT,2017,3,2017Q3,2017-07-01,0
ACT,2017,4,2017Q4,2017-10-01,0
ACT,2018,1,2018Q1,2018-01-01,0
ACT,2018,2,2018Q2,2018-04-01,185
ACT,2018,3,2018Q3,2018-07-01,266
ACT,2018,4,2018Q4,2018-10-01,380
ACT,2019,1,2019Q1,2019-01-01,575
ACT,2019,2,2019Q2,2019-04-01,686
ACT,2019,3,2019Q3,2019-07-01,861
ACT,2019,4,2019Q4,2019-10-01,845
ACT,2020,1,2020Q1,2020-01-01,965
ACT,2020,2,2020Q2,2020-04-01,1046
ACT,2020,3,2020Q3,2020-07-01,919
ACT,2020,4,2020Q4,2020-10-01,952
ACT,2021,1,2021Q1,2021-01-01,973
ACT,2021,2,2021Q2,2021-04-01,1024
ACT,2021,3,2021Q3,2021-07-01,1062
ACT,2021,4,2021Q4,2021-10-01,1149
ACT,2022,1,2022Q1,2022-01-01,1126
ACT,2022,2,2022Q2,2022-04-01,1164
ACT,2022,3,2022Q3,2022-07-01,1113
ACT,2022,4,2022Q4,2022-10-01,1101
NSW,2013,1,2013Q1,2013-01-01,0
NSW,2013,2,2013Q2,2013-04-01,0
NSW,2013,3,2013Q3,2013-07-01,0
NSW,2013,4,2013Q4,2013-10-01,0
NSW,2014,1,2014Q1,2014-01-01,0
NSW,2014,2,2014Q2,2014-04-01,0
NSW,2014,3,2014Q3,2014-07-01,0
NSW,2014,4,2014Q4,2014-10-01,0
NSW,2015,1,2015Q1,2015-01-01,0
NSW,2015,2,2015Q2,2015-04-01,0
NSW,2015,3,2015Q3,2015-07-01,0
NSW,2015,4,2015Q4,2015-10-01,0
NSW,2016,1,2016Q1,2016-01-01,772
NSW,2016,2,2016Q2,2016-04-01,1321
NSW,2016,3,2016Q3,2016-07-01,2012
NSW,2016,4,2016Q4,2016-10-01,3234
NSW,2017,1,2017Q1,2017-01-01,4412
NSW,2017,2,2017Q2,2017-04-01,5782
NSW,2017,3,2017Q3,2017-07-01,6951
NSW,2017,4,2017Q4,2017-10-01,7709
NSW,2018,1,2018Q1,2018-01-01,8265
NSW,2018,2,2018Q2,2018-04-01,2989
NSW,2018,3,2018Q3,2018-07-01,4372
NSW,2018,4,2018Q4,2018-10-01,6132
NSW,2019,1,2019Q1,2019-01-01,8024
NSW,2019,2,2019Q2,2019-04-01,9884
NSW,2019,3,2019Q3,2019-07-01,11689
NSW,2019,4,2019Q4,2019-10-01,13124
NSW,2020,1,2020Q1,2020-01-01,13996
NSW,2020,2,2020Q2,2020-04-01,14743
NSW,2020,3,2020Q3,2020-07-01,14134
NSW,2020,4,2020Q4,2020-10-01,13637
NSW,2021,1,2021Q1,2021-01-01,13536
NSW,2021,2,2021Q2,2021-04-01,13787
NSW,2021,3,2021Q3,2021-07-01,14826
NSW,2021,4,2021Q4,2021-10-01,15879
NSW,2022,1,2022Q1,2022-01-01,16139
NSW,2022,2,2022Q2,2022-04-01,16118
NSW,2022,3,2022Q3,2022-07-01,16036
NSW,2022,4,2022Q4,2022-10-01,15899
NT,2013,1,2013Q1,2013-01-01,0
NT,2013,2,2013Q2,2013-04-01,0
NT,2013,3,2013Q3,2013-07-01,0
NT,2013,4,2013Q4,2013-10-01,0
NT,2014,1,2014Q1,2014-01-01,0
NT,2014,2,2014Q2,2014-04-01,0
NT,2014,3,2014Q3,2014-07-01,0
NT,2014,4,2014Q4,2014-10-01,0
NT,2015,1,2015Q1,2015-01-01,0
NT,2015,2,2015Q2,2015-04-01,0
NT,2015,3,2015Q3,2015-07-01,0
NT,2015,4,2015Q4,2015-10-01,0
NT,2016,1,2016Q1,2016-01-01,0
NT,2016,2,2016Q2,2016-04-01,0
NT,2016,3,2016Q3,2016-07-01,0
NT,2016,4,2016Q4,2016-10-01,0
NT,2017,1,2017Q1,2017-01-01,0
NT,2017,2,2017Q2,2017-04-01,0
NT,2017,3,2017Q3,2017-07-01,0
NT,2017,4,2017Q4,2017-10-01,0
NT,2018,1,2018Q1,2018-01-01,0
NT,2018,2,2018Q2,2018-04-01,81
NT,2018,3,2018Q3,2018-07-01,112
NT,2018,4,2018Q4,2018-10-01,165
NT,2019,1,2019Q1,2019-01-01,220
NT,2019,2,2019Q2,2019-04-01,270
NT,2019,3,2019Q3,2019-07-01,359
NT,2019,4,2019Q4,2019-10-01,358
NT,2020,1,2020Q1,2020-01-01,420
NT,2020,2,2020Q2,2020-04-01,436
NT,2020,3,2020Q3,2020-07-01,404
NT,2020,4,2020Q4,2020-10-01,394
NT,2021,1,2021Q1,2021-01-01,387
NT,2021,2,2021Q2,2021-04-01,362
NT,2021,3,2021Q3,2021-07-01,382
