state,quarter,quarter_start,transmission_category,hiv_notifications
NSW,2013Q1,2013-01-01,MSM,63
NSW,2013Q2,2013-04-01,MSM,66
NSW,2013Q3,2013-07-01,MSM,56
NSW,2013Q4,2013-10-01,MSM,66
NSW,2014Q1,2014-01-01,MSM,50
NSW,2014Q2,2014-04-01,MSM,61
NSW,2014Q3,2014-07-01,MSM,61
NSW,2014Q4,2014-10-01,MSM,51
NSW,2015Q1,2015-01-01,MSM,58
NSW,2015Q2,2015-04-01,MSM,54
NSW,2015Q3,2015-07-01,MSM,56
NSW,2015Q4,2015-10-01,MSM,51
NSW,2016Q1,2016-01-01,MSM,47
NSW,2016Q2,2016-04-01,MSM,49
NSW,2016Q3,2016-07-01,MSM,57
NSW,2016Q4,2016-10-01,MSM,60
NSW,2017Q1,2017-01-01,MSM,44
NSW,2017Q2,2017-04-01,MSM,53
NSW,2017Q3,2017-07-01,MSM,50
NSW,2017Q4,2017-10-01,MSM,41
NSW,2018Q1,2018-01-01,MSM,37
NSW,2018Q2,2018-04-01,MSM,26
NSW,2018Q3,2018-07-01,MSM,21
NSW,2018Q4,2018-10-01,MSM,38
NSW,2019Q1,2019-01-01,MSM,24
NSW,2019Q2,2019-04-01,MSM,26
NSW,2019Q3,2019-07-01,MSM,41
NSW,2019Q4,2019-10-01,MSM,30
NSW,2020Q1,2020-01-01,MSM,20
NSW,2020Q2,2020-04-01,MSM,33
NSW,2020Q3,2020-07-01,MSM,29
NSW,2020Q4,2020-10-01,MSM,28
NSW,2021Q1,2021-01-01,MSM,22
NSW,2021Q2,2021-04-01,MSM,32
NSW,2021Q3,2021-07-01,MSM,32
NSW,2021Q4,2021-10-01,MSM,28
NSW,2022Q1,2022-01-01,MSM,23
NSW,2022Q2,2022-04-01,MSM,26
NSW,2022Q3,2022-07-01,MSM,30
NSW,2022Q4,2022-10-01,MSM,24
NSW,2013Q1,2013-01-01,Heterosexual,15
NSW,2013Q2,2013-04-01,Heterosexual,18
NSW,2013Q3,2013-07-01,Heterosexual,21
NSW,2013Q4,2013-10-01,Heterosexual,16
NSW,2014Q1,2014-01-01,Heterosexual,22
NSW,2014Q2,2014-04-01,Heterosexual,20
NSW,2014Q3,2014-07-01,Heterosexual,27
NSW,2014Q4,2014-10-01,Heterosexual,20
NSW,2015Q1,2015-01-01,Heterosexual,19
NSW,2015Q2,2015-04-01,Heterosexual,16
NSW,2015Q3,2015-07-01,Heterosexual,13
NSW,2015Q4,2015-10-01,Heterosexual,26
NSW,2016Q1,2016-01-01,Heterosexual,18
NSW,2016Q2,2016-04-01,Heterosexual,16
NSW,2016Q3,2016-07-01,Heterosexual,18
NSW,2016Q4,2016-10-01,Heterosexual,17
NSW,2017Q1,2017-01-01,Heterosexual,21
NSW,2017Q2,2017-04-01,Heterosexual,19
NSW,2017Q3,2017-07-01,Heterosexual,17
NSW,2017Q4,2017-10-01,Heterosexual,17
NSW,2018Q1,2018-01-01,Heterosexual,11
NSW,2018Q2,2018-04-01,Heterosexual,25
NSW,2018Q3,2018-07-01,Heterosexual,18
NSW,2018Q4,2018-10-01,Heterosexual,15
NSW,2019Q1,2019-01-01,Heterosexual,20
NSW,2019Q2,2019-04-01,Heterosexual,14
NSW,2019Q3,2019-07-01,Heterosexual,19
NSW,2019Q4,2019-10-01,Heterosexual,17
NSW,2020Q1,2020-01-01,Heterosexual,11
NSW,2020Q2,2020-04-01,Heterosexual,7
