state,month,prep_dispensing_count
NSW,2016-01-01,0
NSW,2016-02-01,0
NSW,2016-03-01,1
NSW,2016-04-01,41
NSW,2016-05-01,74
NSW,2016-06-01,105
NSW,2016-07-01,150
NSW,2016-08-01,209
NSW,2016-09-01,220
NSW,2016-10-01,293
NSW,2016-11-01,304
NSW,2016-12-01,340
NSW,2017-01-01,397
NSW,2017-02-01,437
NSW,2017-03-01,490
NSW,2017-04-01,515
NSW,2017-05-01,548
NSW,2017-06-01,569
NSW,2017-07-01,608
NSW,2017-08-01,672
NSW,2017-09-01,703
NSW,2017-10-01,686
NSW,2017-11-01,685
NSW,2017-12-01,730
NSW,2018-01-01,698
NSW,2018-02-01,704
NSW,2018-03-01,663
NSW,2018-04-01,0
NSW,2018-05-01,288
NSW,2018-06-01,589
NSW,2018-07-01,816
NSW,2018-08-01,1191
NSW,2018-09-01,1370
NSW,2018-10-01,1666
NSW,2018-11-01,1844
NSW,2018-12-01,1685
NSW,2019-01-01,1740
NSW,2019-02-01,1737
NSW,2019-03-01,1776
NSW,2019-04-01,1805
NSW,2019-05-01,1720
NSW,2019-06-01,1786
NSW,2019-07-01,1758
NSW,2019-08-01,1803
NSW,2019-09-01,1862
NSW,2019-10-01,1853
NSW,2019-11-01,1841
NSW,2019-12-01,1902
NSW,2020-01-01,1805
NSW,2020-02-01,1880
NSW,2020-03-01,1520
NSW,2020-04-01,1491
NSW,2020-05-01,1355
NSW,2020-06-01,1339
NSW,2020-07-01,1272
NSW,2020-08-01,1381
NSW,2020-09-01,1483
NSW,2020-10-01,1587
NSW,2020-11-01,1619
NSW,2020-12-01,1696
NSW,2021-01-01,1742
NSW,2021-02-01,1916
NSW,2021-03-01,1918
NSW,2021-04-01,1955
NSW,2021-05-01,2021
NSW,2021-06-01,2017
NSW,2021-07-01,2010
NSW,2021-08-01,2052
NSW,2021-09-01,2107
NSW,2021-10-01,2097
NSW,2021-11-01,2100
NSW,2021-12-01,2068
NSW,2022-01-01,2209
NSW,2022-02-01,2085
NSW,2022-03-01,2011
NSW,2022-04-01,2142
NSW,2022-05-01,2205
NSW,2022-06-01,2150
NSW,2022-07-01,2221
NSW,2022-08-01,2246
NSW,2022-09-01,2190
NSW,2022-10-01,2103
NSW,2022-11-01,2312
NSW,2022-12-01,2290
VIC,2016-01-01,0
VIC,2016-02-01,0
VIC,2016-03-01,0
VIC,2016-04-01,0
VIC,2016-05-01,0
VIC,2016-06-01,2
VIC,2016-07-01,1
VIC,2016-08-01,0
VIC,2016-09-01,0
VIC,2016-10-01,0
VIC,2016-11-01,1
VIC,2016-12-01,0
VIC,2017-01-01,0
VIC,2017-02-01,1
VIC,2017-03-01,2
VIC,2017-04-01,1
VIC,2017-05-01,1
VIC,2017-06-01,0
VIC,2017-07-01,1
VIC,2017-08-01,1
VIC,2017-09-01,1
VIC,2017-10-01,0
VIC,2017-11-01,1
VIC,2017-12-01,1
VIC,2018-01-01,0
VIC,2018-02-01,1
VIC,2018-03-01,0
VIC,2018-04-01,0
VIC,2018-05-01,232
VIC,2018-06-01,491
VIC,2018-07-01,702
VIC,2018-08-01,889
VIC,2018-09-01,1125
VIC,2018-10-01,1376
VIC,2018-11-01,1454
VIC,2018-12-01,1378
VIC,2019-01-01,1409
VIC,2019-02-01,1403
VIC,2019-03-01,1447
VIC,2019-04-01,1387
VIC,2019-05-01,1497
VIC,2019-06-01,1511
VIC,2019-07-01,1462
VIC,2019-08-01,1504
VIC,2019-09-01,1497
VIC,2019-10-01,1558
VIC,2019-11-01,1515
VIC,2019-12-01,1512
VIC,2020-01-01,1487
VIC,2020-02-01,1527
VIC,2020-03-01,990
VIC,2020-04-01,884
VIC,2020-05-01,886
VIC,2020-06-01,782
VIC,2020-07-01,753
VIC,2020-08-01,718
VIC,2020-09-01,709
VIC,2020-10-01,753
VIC,2020-11-01,769
VIC,2020-12-01,830
VIC,2021-01-01,858
VIC,2021-02-01,1005
VIC,2021-03-01,1067
VIC,2021-04-01,1129
VIC,2021-05-01,1205
VIC,2021-06-01,1292
VIC,2021-07-01,1427
VIC,2021-08-01,1346
VIC,2021-09-01,1575
VIC,2021-10-01,1600
VIC,2021-11-01,1775
VIC,2021-12-01,1690
VIC,2022-01-01,1775
VIC,2022-02-01,1709
VIC,2022-03-01,1681
VIC,2022-04-01,1734
VIC,2022-05-01,1771
VIC,2022-06-01,1782
VIC,2022-07-01,1750
VIC,2022-08-01,1826
VIC,2022-09-01,1759
VIC,2022-10-01,1798
VIC,2022-11-01,1832
VIC,2022-12-01,1741
QLD,2016-01-01,1
QLD,2016-02-01,0
QLD,2016-03-01,1
QLD,2016-04-01,0
QLD,2016-05-01,0
QLD,2016-06-01,1
QLD,2016-07-01,1
QLD,2016-08-01,0
QLD,2016-09-01,0
QLD,2016-10-01,0
QLD,2016-11-01,2
QLD,2016-12-01,1
QLD,2017-01-01,1
QLD,2017-02-01,0
QLD,2017-03-01,1
QLD,2017-04-01,0
QLD,2017-05-01,1
QLD,2017-06-01,0
QLD,2017-07-01,1
QLD,2017-08-01,1
QLD,2017-09-01,0
QLD,2017-10-01,1
QLD,2017-11-01,2
QLD,2017-12-01,0
QLD,2018-01-01,0
QLD,2018-02-01,1
QLD,2018-03-01,1
QLD,2018-04-01,2
QLD,2018-05-01,168
QLD,2018-06-01,343
QLD,2018-07-01,582
QLD,2018-08-01,656
QLD,2018-09-01,876
QLD,2018-10-01,1074
QLD,2018-11-01,1070
QLD,2018-12-01,1029
QLD,2019-01-01,1069
QLD,2019-02-01,1137
QLD,2019-03-01,1164
QLD,2019-04-01,1044
QLD,2019-05-01,1120
QLD,2019-06-01,1161
QLD,2019-07-01,1129
QLD,2019-08-01,1103
QLD,2019-09-01,1119
QLD,2019-10-01,1136
QLD,2019-11-01,1129
QLD,2019-12-01,1130
QLD,2020-01-01,1170
QLD,2020-02-01,1158
QLD,2020-03-01,956
QLD,2020-04-01,937
QLD,2020-05-01,917
QLD,2020-06-01,859
QLD,2020-07-01,859
QLD,2020-08-01,827
QLD,2020-09-01,842
QLD,2020-10-01,914
QLD,2020-11-01,1031
QLD,2020-12-01,1109
QLD,2021-01-01,1096
QLD,2021-02-01,1185
QLD,2021-03-01,1314
QLD,2021-04-01,1193
QLD,2021-05-01,1248
QLD,2021-06-01,1261
