state,month,prep_dispensing_count
NSW,2016-01-01,1
NSW,2016-02-01,1
NSW,2016-03-01,0
NSW,2016-04-01,48
NSW,2016-05-01,86
NSW,2016-06-01,119
NSW,2016-07-01,151
NSW,2016-08-01,228
NSW,2016-09-01,226
NSW,2016-10-01,243
NSW,2016-11-01,340
NSW,2016-12-01,385
NSW,2017-01-01,374
NSW,2017-02-01,429
NSW,2017-03-01,519
NSW,2017-04-01,526
NSW,2017-05-01,592
NSW,2017-06-01,555
NSW,2017-07-01,594
NSW,2017-08-01,677
NSW,2017-09-01,695
NSW,2017-10-01,681
NSW,2017-11-01,736
NSW,2017-12-01,701
NSW,2018-01-01,673
NSW,2018-02-01,734
NSW,2018-03-01,673
NSW,2018-04-01,674
NSW,2018-05-01,726
NSW,2018-06-01,726
NSW,2018-07-01,839
NSW,2018-08-01,1115
NSW,2018-09-01,1357
NSW,2018-10-01,1781
NSW,2018-11-01,1731
NSW,2018-12-01,1712
NSW,2019-01-01,1775
NSW,2019-02-01,1727
NSW,2019-03-01,1785
NSW,2019-04-01,1739
NSW,2019-05-01,1867
NSW,2019-06-01,1770
NSW,2019-07-01,1818
NSW,2019-08-01,1825
NSW,2019-09-01,1821
NSW,2019-10-01,1800
NSW,2019-11-01,1825
NSW,2019-12-01,1957
NSW,2020-01-01,1873
NSW,2020-02-01,1881
NSW,2020-03-01,1584
NSW,2020-04-01,1445
NSW,2020-05-01,1372
NSW,2020-06-01,1380
NSW,2020-07-01,1294
NSW,2020-08-01,1346
NSW,2020-09-01,1465
NSW,2020-10-01,1495
NSW,2020-11-01,1626
NSW,2020-12-01,1811
NSW,2021-01-01,1806
NSW,2021-02-01,1830
NSW,2021-03-01,1933
NSW,2021-04-01,2020
NSW,2021-05-01,2051
NSW,2021-06-01,2028
NSW,2021-07-01,2030
NSW,2021-08-01,1999
NSW,2021-09-01,2126
NSW,2021-10-01,2057
NSW,2021-11-01,2167
NSW,2021-12-01,2132
NSW,2022-01-01,2084
NSW,2022-02-01,2088
NSW,2022-03-01,2161
NSW,2022-04-01,2119
NSW,2022-05-01,2170
NSW,2022-06-01,2204
NSW,2022-07-01,2157
NSW,2022-08-01,2202
NSW,2022-09-01,2198
NSW,2022-10-01,2182
NSW,2022-11-01,2071
NSW,2022-12-01,2251
VIC,2016-01-01,0
VIC,2016-02-01,1
VIC,2016-03-01,0
VIC,2016-04-01,0
VIC,2016-05-01,2
VIC,2016-06-01,0
VIC,2016-07-01,1
VIC,2016-08-01,1
VIC,2016-09-01,0
VIC,2016-10-01,1
VIC,2016-11-01,0
VIC,2016-12-01,2
VIC,2017-01-01,0
VIC,2017-02-01,0
VIC,2017-03-01,0
VIC,2017-04-01,1
VIC,2017-05-01,0
VIC,2017-06-01,3
VIC,2017-07-01,0
VIC,2017-08-01,1
VIC,2017-09-01,0
VIC,2017-10-01,1
VIC,2017-11-01,0
VIC,2017-12-01,1
VIC,2018-01-01,0
VIC,2018-02-01,2
VIC,2018-03-01,0
VIC,2018-04-01,0
VIC,2018-05-01,214
VIC,2018-06-01,479
VIC,2018-07-01,701
VIC,2018-08-01,910
VIC,2018-09-01,1173
VIC,2018-10-01,1398
VIC,2018-11-01,1450
VIC,2018-12-01,1412
VIC,2019-01-01,1372
VIC,2019-02-01,1431
VIC,2019-03-01,1415
VIC,2019-04-01,1514
VIC,2019-05-01,1517
VIC,2019-06-01,1505
VIC,2019-07-01,1509
VIC,2019-08-01,1506
VIC,2019-09-01,1515
VIC,2019-10-01,1439
VIC,2019-11-01,1528
VIC,2019-12-01,1522
VIC,2020-01-01,1465
VIC,2020-02-01,1546
VIC,2020-03-01,976
VIC,2020-04-01,872
VIC,2020-05-01,828
VIC,2020-06-01,742
VIC,2020-07-01,755
VIC,2020-08-01,725
VIC,2020-09-01,711
VIC,2020-10-01,707
VIC,2020-11-01,740
VIC,2020-12-01,808
VIC,2021-01-01,952
VIC,2021-02-01,954
VIC,2021-03-01,1084
VIC,2021-04-01,1134
VIC,2021-05-01,1234
VIC,2021-06-01,1350
VIC,2021-07-01,1400
VIC,2021-08-01,1463
VIC,2021-09-01,1493
VIC,2021-10-01,1566
VIC,2021-11-01,1725
VIC,2021-12-01,1736
VIC,2022-01-01,1648
VIC,2022-02-01,1696
VIC,2022-03-01,1665
VIC,2022-04-01,1714
VIC,2022-05-01,1773
VIC,2022-06-01,1711
VIC,2022-07-01,1739
VIC,2022-08-01,1774
VIC,2022-09-01,1826
VIC,2022-10-01,1781
VIC,2022-11-01,1752
VIC,2022-12-01,1767
QLD,2016-01-01,0
QLD,2016-02-01,1
QLD,2016-03-01,2
QLD,2016-04-01,0
QLD,2016-05-01,1
QLD,2016-06-01,0
QLD,2016-07-01,1
QLD,2016-08-01,1
QLD,2016-09-01,1
QLD,2016-10-01,1
QLD,2016-11-01,1
QLD,2016-12-01,0
QLD,2017-01-01,1
QLD,2017-02-01,0
QLD,2017-03-01,0
QLD,2017-04-01,0
QLD,2017-05-01,0
QLD,2017-06-01,0
QLD,2017-07-01,1
QLD,2017-08-01,1
QLD,2017-09-01,1
QLD,2017-10-01,0
QLD,2017-11-01,0
QLD,2017-12-01,0
QLD,2018-01-01,3
QLD,2018-02-01,0
QLD,2018-03-01,0
QLD,2018-04-01,0
QLD,2018-05-01,159
QLD,2018-06-01,367
QLD,2018-07-01,520
QLD,2018-08-01,715
QLD,2018-09-01,905
QLD,2018-10-01,1080
QLD,2018-11-01,1054
QLD,2018-12-01,1070
QLD,2019-01-01,1106
QLD,2019-02-01,1168
QLD,2019-03-01,1086
QLD,2019-04-01,1115
QLD,2019-05-01,1136
QLD,2019-06-01,1132
QLD,2019-07-01,1116
QLD,2019-08-01,1121
QLD,2019-09-01,1166
QLD,2019-10-01,1216
QLD,2019-11-01,1197
QLD,2019-12-01,1188
QLD,2020-01-01,1222
QLD,2020-02-01,1139
QLD,2020-03-01,969
QLD,2020-04-01,913
QLD,2020-05-01,891
QLD,2020-06-01,865
QLD,2020-07-01,859
QLD,2020-08-01,877
QLD,2020-09-01,912
QLD,2020-10-01,928
QLD,2020-11-01,942
QLD,2020-12-01,1050
QLD,2021-01-01,1147
QLD,2021-02-01,1301
QLD,2021-03-01,1194
QLD,2021-04-01,1195
QLD,2021-05-01,1269
QLD,2021-06-01,1223
QLD,2021-07-01,1303
QLD,2021-08-01,1310
QLD,2021-09-01,1315
QLD,2021-10-01,1344
QLD,2021-11-01,1211
QLD,2021-12-01,1332
QLD,2022-01-01,1273
QLD,2022-02-01,1302
QLD,2022-03-01,1364
QLD,2022-04-01,1291
QLD,2022-05-01,1313
QLD,2022-06-01,1420
QLD,2022-07-01,1352
QLD,2022-08-01,1381
QLD,2022-09-01,1392
QLD,2022-10-01,1366
QLD,2022-11-01,1360
QLD,2022-12-01,1354
WA,2016-01-01,0
WA,2016-02-01,0
WA,2016-03-01,0
WA,2016-04-01,0
WA,2016-05-01,0
WA,2016-06-01,0
WA,2016-07-01,1
WA,2016-08-01,1
WA,2016-09-01,0
WA,2016-10-01,0
WA,2016-11-01,0
WA,2016-12-01,1
WA,2017-01-01,2
WA,2017-02-01,0
WA,2017-03-01,0
WA,2017-04-01,1
WA,2017-05-01,0
WA,2017-06-01,1
WA,2017-07-01,1
WA,2017-08-01,0
WA,2017-09-01,0
WA,2017-10-01,0
WA,2017-11-01,0
WA,2017-12-01,0
WA,2018-01-01,0
WA,2018-02-01,0
WA,2018-03-01,1
WA,2018-04-01,0
WA,2018-05-01,91
WA,2018-06-01,194
WA,2018-07-01,284
WA,2018-08-01,376
WA,2018-09-01,512
WA,2018-10-01,564
WA,2018-11-01,610
WA,2018-12-01,608
WA,2019-01-01,586
WA,2019-02-01,616
WA,2019-03-01,600
WA,2019-04-01,610
WA,2019-05-01,626
WA,2019-06-01,624
WA,2019-07-01,598
WA,2019-08-01,617
WA,2019-09-01,599
WA,2019-10-01,654
WA,2019-11-01,676
WA,2019-12-01,649
WA,2020-01-01,632
WA,2020-02-01,695
WA,2020-03-01,472
WA,2020-04-01,537
WA,2020-05-01,472
WA,2020-06-01,444
WA,2020-07-01,464
WA,2020-08-01,467
WA,2020-09-01,476
WA,2020-10-01,520
WA,2020-11-01,527
WA,2020-12-01,569
WA,2021-01-01,663
WA,2021-02-01,650
WA,2021-03-01,673
WA,2021-04-01,687
WA,2021-05-01,704
WA,2021-06-01,730
WA,2021-07-01,691
WA,2021-08-01,708
WA,2021-09-01,721
WA,2021-10-01,743
WA,2021-11-01,707
WA,2021-12-01,707
WA,2022-01-01,678
WA,2022-02-01,762
WA,2022-03-01,739
WA,2022-04-01,783
WA,2022-05-01,762
WA,2022-06-01,767
WA,2022-07-01,765
WA,2022-08-01,738
WA,2022-09-01,762
WA,2022-10-01,803
WA,2022-11-01,763
WA,2022-12-01,750
SA,2016-01-01,1
SA,2016-02-01,0
SA,2016-03-01,1
SA,2016-04-01,1
SA,2016-05-01,1
SA,2016-06-01,0
SA,2016-07-01,0
SA,2016-08-01,0
SA,2016-09-01,0
SA,2016-10-01,1
SA,2016-11-01,1
SA,2016-12-01,0
SA,2017-01-01,2
SA,2017-02-01,0
SA,2017-03-01,1
SA,2017-04-01,0
SA,2017-05-01,0
SA,2017-06-01,0
SA,2017-07-01,0
SA,2017-08-01,0
SA,2017-09-01,1
SA,2017-10-01,0
SA,2017-11-01,0
SA,2017-12-01,1
SA,2018-01-01,0
SA,2018-02-01,0
SA,2018-03-01,0
SA,2018-04-01,0
SA,2018-05-01,65
SA,2018-06-01,125
SA,2018-07-01,165
SA,2018-08-01,269
SA,2018-09-01,346
SA,2018-10-01,358
SA,2018-11-01,393
SA,2018-12-01,381
SA,2019-01-01,383
SA,2019-02-01,392
SA,2019-03-01,383
SA,2019-04-01,375
SA,2019-05-01,410
SA,2019-06-01,421
SA,2019-07-01,347
SA,2019-08-01,404
SA,2019-09-01,437
SA,2019-10-01,428
SA,2019-11-01,379
SA,2019-12-01,414
SA,2020-01-01,415
SA,2020-02-01,403
SA,2020-03-01,343
SA,2020-04-01,326
SA,2020-05-01,287
SA,2020-06-01,301
SA,2020-07-01,279
SA,2020-08-01,302
SA,2020-09-01,311
SA,2020-10-01,321
SA,2020-11-01,342
SA,2020-12-01,377
SA,2021-01-01,396
SA,2021-02-01,401
SA,2021-03-01,400
SA,2021-04-01,447
SA,2021-05-01,456
SA,2021-06-01,440
SA,2021-07-01,434
SA,2021-08-01,477
SA,2021-09-01,395
SA,2021-10-01,445
SA,2021-11-01,477
SA,2021-12-01,476
SA,2022-01-01,465
SA,2022-02-01,451
SA,2022-03-01,508
SA,2022-04-01,482
SA,2022-05-01,503
SA,2022-06-01,454
SA,2022-07-01,509
SA,2022-08-01,464
SA,2022-09-01,465
SA,2022-10-01,467
SA,2022-11-01,472
SA,2022-12-01,503
OTHER,2016-01-01,1
